UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
146205,1,3224,387,877,1960,All Students,2024
146205,2,3224,387,877,1960,Undergrad,2024
146205,3,2016,325,784,907,,2024
146205,11,1208,62,93,1053,,2024
146278,1,1856,395,872,589,All Students,2024
146278,2,1856,395,872,589,Undergrad,2024
146278,3,1371,243,783,345,,2024
146278,11,485,152,89,244,,2024
146296,1,14414,1467,3419,9528,All Students,2024
146296,2,14414,1467,3419,9528,Undergrad,2024
146296,3,9306,1461,3403,4442,,2024
146296,11,5108,6,16,5086,,2024
146339,1,960,50,460,450,All Students,2024
146339,2,718,32,320,366,Undergrad,2024
146339,3,708,31,320,357,,2024
146339,11,10,1,0,9,,2024
146339,12,242,18,140,84,Graduate,2024
146348,1,2564,189,772,1603,All Students,2024
146348,2,2564,189,772,1603,Undergrad,2024
146348,3,1985,149,710,1126,,2024
146348,11,579,40,62,477,,2024
146366,1,3669,452,880,2337,All Students,2024
146366,2,3669,452,880,2337,Undergrad,2024
146366,3,1920,371,817,732,,2024
146366,11,1749,81,63,1605,,2024
146418,1,2969,485,976,1508,All Students,2024
146418,2,2969,485,976,1508,Undergrad,2024
146418,3,1936,460,940,536,,2024
146418,11,1033,25,36,972,,2024
146427,1,1136,0,0,1136,All Students,2024
146427,2,1136,0,0,1136,Undergrad,2024
146427,3,1127,0,0,1127,,2024
146427,11,9,0,0,9,,2024
146454,1,52,,,52,All Students,2024
146454,2,52,,,52,Undergrad,2024
146454,3,52,,,52,,2024
146472,1,12530,2542,3416,6572,All Students,2024
146472,2,12530,2542,3416,6572,Undergrad,2024
146472,3,9420,1891,3114,4415,,2024
146472,11,3110,651,302,2157,,2024
146481,1,1837,0,148,1689,All Students,2024
146481,2,1814,0,148,1666,Undergrad,2024
146481,3,1813,0,148,1665,,2024
146481,11,1,0,0,1,,2024
146481,12,23,,,23,Graduate,2024
146490,1,196,196,0,0,All Students,2024
146490,12,196,196,0,0,Graduate,2024
146506,1,3960,572,1266,2122,All Students,2024
146506,2,3960,572,1266,2122,Undergrad,2024
146506,3,2448,430,1186,832,,2024
146506,11,1512,142,80,1290,,2024
146533,1,66,,,66,All Students,2024
146533,2,66,,,66,Undergrad,2024
146533,3,66,,,66,,2024
146603,1,4606,356,769,3481,All Students,2024
146603,2,4606,356,769,3481,Undergrad,2024
146603,3,2487,260,754,1473,,2024
146603,11,2119,96,15,2008,,2024
146612,1,7011,1357,3662,1992,All Students,2024
146612,2,4326,673,2214,1439,Undergrad,2024
146612,3,4015,583,2209,1223,,2024
146612,11,311,90,5,216,,2024
146612,12,2685,684,1448,553,Graduate,2024
146685,1,5677,1120,1251,3306,All Students,2024
146685,2,5677,1120,1251,3306,Undergrad,2024
146685,3,3976,935,1166,1875,,2024
146685,11,1701,185,85,1431,,2024
146700,1,1539,,,1539,All Students,2024
146700,2,1539,,,1539,Undergrad,2024
146700,3,1539,,,1539,,2024
146719,1,17384,1393,3165,12826,All Students,2024
146719,2,12538,242,1692,10604,Undergrad,2024
146719,3,11737,240,1691,9806,,2024
146719,11,801,2,1,798,,2024
146719,12,4846,1151,1473,2222,Graduate,2024
146728,1,101,,,101,All Students,2024
146728,12,101,,,101,Graduate,2024
146755,1,65,3,62,0,All Students,2024
146755,2,56,3,53,0,Undergrad,2024
146755,3,56,3,53,0,,2024
146755,12,9,0,9,0,Graduate,2024
146807,1,60,,,60,All Students,2024
146807,2,60,,,60,Undergrad,2024
146807,3,60,,,60,,2024
146816,1,310,284,26,0,All Students,2024
146816,2,310,284,26,0,Undergrad,2024
146816,3,310,284,26,0,,2024
146977,1,125,33,28,64,All Students,2024
146977,12,125,33,28,64,Graduate,2024
147004,1,9399,1117,2086,6196,All Students,2024
147004,2,9399,1117,2086,6196,Undergrad,2024
147004,3,4691,995,1966,1730,,2024
147004,11,4708,122,120,4466,,2024
147013,1,2392,891,994,507,All Students,2024
147013,2,1757,398,903,456,Undergrad,2024
147013,3,1752,395,903,454,,2024
147013,11,5,3,0,2,,2024
147013,12,635,493,91,51,Graduate,2024
147031,1,62,25,36,1,All Students,2024
147031,12,62,25,36,1,Graduate,2024
147129,1,267,40,151,76,All Students,2024
147129,2,245,40,129,76,Undergrad,2024
147129,3,245,40,129,76,,2024
147129,12,22,0,22,0,Graduate,2024
147244,1,1586,66,561,959,All Students,2024
147244,2,1495,53,520,922,Undergrad,2024
147244,3,1382,18,513,851,,2024
147244,11,113,35,7,71,,2024
147244,12,91,13,41,37,Graduate,2024
147341,1,713,0,0,713,All Students,2024
147341,2,713,0,0,713,Undergrad,2024
147341,3,702,0,0,702,,2024
147341,11,11,0,0,11,,2024
147369,1,2202,803,320,1079,All Students,2024
147369,2,1547,431,232,884,Undergrad,2024
147369,3,1510,402,231,877,,2024
147369,11,37,29,1,7,,2024
147369,12,655,372,88,195,Graduate,2024
147378,1,11296,1390,3098,6808,All Students,2024
147378,2,11296,1390,3098,6808,Undergrad,2024
147378,3,7490,1097,2986,3407,,2024
147378,11,3806,293,112,3401,,2024
147396,1,59,,,59,All Students,2024
147396,2,59,,,59,Undergrad,2024
147396,3,59,,,59,,2024
147411,1,3562,18,393,3151,All Students,2024
147411,2,3562,18,393,3151,Undergrad,2024
147411,3,2640,15,379,2246,,2024
147411,11,922,3,14,905,,2024
147536,1,8915,5148,1078,2689,All Students,2024
147536,2,4471,2489,584,1398,Undergrad,2024
147536,3,4406,2449,584,1373,,2024
147536,11,65,40,0,25,,2024
147536,12,4444,2659,494,1291,Graduate,2024
147590,1,511,20,259,232,All Students,2024
147590,2,21,6,14,1,Undergrad,2024
147590,3,13,3,10,0,,2024
147590,11,8,3,4,1,,2024
147590,12,490,14,245,231,Graduate,2024
147642,1,31,,,31,All Students,2024
147642,2,31,,,31,Undergrad,2024
147642,3,31,,,31,,2024
147660,1,3003,247,686,2070,All Students,2024
147660,2,2454,1,571,1882,Undergrad,2024
147660,3,2428,1,571,1856,,2024
147660,11,26,0,0,26,,2024
147660,12,549,246,115,188,Graduate,2024
147679,1,2557,335,798,1424,All Students,2024
147679,2,1841,105,543,1193,Undergrad,2024
147679,3,1818,105,540,1173,,2024
147679,11,23,0,3,20,,2024
147679,12,716,230,255,231,Graduate,2024
147697,1,315,9,158,148,All Students,2024
147697,12,315,9,158,148,Graduate,2024
147703,1,15414,2197,7937,5280,All Students,2024
147703,2,11348,830,7157,3361,Undergrad,2024
147703,3,11301,799,7151,3351,,2024
147703,11,47,31,6,10,,2024
147703,12,4066,1367,780,1919,Graduate,2024
147767,1,23856,781,1509,21566,All Students,2024
147767,2,9399,0,16,9383,Undergrad,2024
147767,3,9201,0,0,9201,,2024
147767,11,198,0,16,182,,2024
147767,12,14457,781,1493,12183,Graduate,2024
147776,1,5734,1101,2235,2398,All Students,2024
147776,2,4226,756,1804,1666,Undergrad,2024
147776,3,3982,748,1782,1452,,2024
147776,11,244,8,22,214,,2024
147776,12,1508,345,431,732,Graduate,2024
147800,1,8329,1944,2053,4332,All Students,2024
147800,2,8329,1944,2053,4332,Undergrad,2024
147800,3,6072,1749,2018,2305,,2024
147800,11,2257,195,35,2027,,2024
147819,1,65,,,65,All Students,2024
147819,2,65,,,65,Undergrad,2024
147819,3,65,,,65,,2024
147828,1,3339,761,768,1810,All Students,2024
147828,2,2711,140,761,1810,Undergrad,2024
147828,3,2603,140,761,1702,,2024
147828,11,108,0,0,108,,2024
147828,12,628,621,7,0,Graduate,2024
147916,1,6014,1065,1798,3151,All Students,2024
147916,2,6014,1065,1798,3151,Undergrad,2024
147916,3,3348,527,1405,1416,,2024
147916,11,2666,538,393,1735,,2024
148007,1,2953,416,841,1696,All Students,2024
148007,2,2953,416,841,1696,Undergrad,2024
148007,3,2443,408,808,1227,,2024
148007,11,510,8,33,469,,2024
148016,1,339,0,73,266,All Students,2024
148016,2,339,0,73,266,Undergrad,2024
148016,3,339,0,73,266,,2024
148098,1,53,,,53,All Students,2024
148098,2,53,,,53,Undergrad,2024
148098,3,53,,,53,,2024
148131,1,1210,51,760,399,All Students,2024
148131,2,1072,9,745,318,Undergrad,2024
148131,3,1010,8,744,258,,2024
148131,11,62,1,1,60,,2024
148131,12,138,42,15,81,Graduate,2024
148256,1,2015,205,814,996,All Students,2024
148256,2,2015,205,814,996,Undergrad,2024
148256,3,1175,171,724,280,,2024
148256,11,840,34,90,716,,2024
148292,1,2388,384,487,1517,All Students,2024
148292,2,2388,384,487,1517,Undergrad,2024
148292,3,1346,356,394,596,,2024
148292,11,1042,28,93,921,,2024
148380,1,5978,1079,1814,3085,All Students,2024
148380,2,5978,1079,1814,3085,Undergrad,2024
148380,3,4359,946,1592,1821,,2024
148380,11,1619,133,222,1264,,2024
148405,1,1241,63,782,396,All Students,2024
148405,2,983,63,537,383,Undergrad,2024
148405,3,972,63,535,374,,2024
148405,11,11,0,2,9,,2024
148405,12,258,0,245,13,Graduate,2024
148487,1,4281,463,2086,1732,All Students,2024
148487,2,2868,229,1546,1093,Undergrad,2024
148487,3,2849,223,1545,1081,,2024
148487,11,19,6,1,12,,2024
148487,12,1413,234,540,639,Graduate,2024
148496,1,3803,1040,2106,657,All Students,2024
148496,2,2690,126,1996,568,Undergrad,2024
148496,3,2561,124,1995,442,,2024
148496,11,129,2,1,126,,2024
148496,12,1113,914,110,89,Graduate,2024
148511,1,2769,834,1313,622,All Students,2024
148511,2,138,44,89,5,Undergrad,2024
148511,3,138,44,89,5,,2024
148511,12,2631,790,1224,617,Graduate,2024
148575,1,605,395,119,91,All Students,2024
148575,2,273,63,119,91,Undergrad,2024
148575,3,273,63,119,91,,2024
148575,12,332,332,0,0,Graduate,2024
148584,1,3074,1500,890,684,All Students,2024
148584,2,1343,140,723,480,Undergrad,2024
148584,3,1223,137,723,363,,2024
148584,11,120,3,0,117,,2024
148584,12,1731,1360,167,204,Graduate,2024
148593,1,132,34,49,49,All Students,2024
148593,2,126,28,49,49,Undergrad,2024
148593,3,126,28,49,49,,2024
148593,12,6,6,0,0,Graduate,2024
148627,1,3485,291,2241,953,All Students,2024
148627,2,3098,109,2188,801,Undergrad,2024
148627,3,3096,109,2188,799,,2024
148627,11,2,0,0,2,,2024
148627,12,387,182,53,152,Graduate,2024
148654,1,4628,2191,1660,777,All Students,2024
148654,2,2309,1019,938,352,Undergrad,2024
148654,3,2263,989,929,345,,2024
148654,11,46,30,9,7,,2024
148654,12,2319,1172,722,425,Graduate,2024
148672,1,1467,218,559,690,All Students,2024
148672,2,1467,218,559,690,Undergrad,2024
148672,3,1158,169,529,460,,2024
148672,11,309,49,30,230,,2024
148821,1,1156,238,390,528,All Students,2024
148821,2,1156,238,390,528,Undergrad,2024
148821,3,698,165,299,234,,2024
148821,11,458,73,91,294,,2024
148876,1,810,,,810,All Students,2024
148876,2,810,,,810,Undergrad,2024
148876,3,787,,,787,,2024
148876,11,23,,,23,,2024
148885,1,200,25,58,117,All Students,2024
148885,12,200,25,58,117,Graduate,2024
148937,1,1446,117,451,878,All Students,2024
148937,2,1446,117,451,878,Undergrad,2024
148937,3,680,86,371,223,,2024
148937,11,766,31,80,655,,2024
148982,1,89,54,28,7,All Students,2024
148982,12,89,54,28,7,Graduate,2024
148991,1,1247,454,321,472,All Students,2024
148991,2,1247,454,321,472,Undergrad,2024
148991,3,774,347,270,157,,2024
148991,11,473,107,51,315,,2024
149028,1,263,116,44,103,All Students,2024
149028,2,172,25,44,103,Undergrad,2024
149028,3,172,25,44,103,,2024
149028,12,91,91,0,0,Graduate,2024
149204,1,59,,,59,All Students,2024
149204,2,59,,,59,Undergrad,2024
149204,3,59,,,59,,2024
149222,1,11790,2272,3360,6158,All Students,2024
149222,2,8553,1492,3022,4039,Undergrad,2024
149222,3,8494,1467,3016,4011,,2024
149222,11,59,25,6,28,,2024
149222,12,3237,780,338,2119,Graduate,2024
149231,1,11893,1999,3314,6580,All Students,2024
149231,2,8945,822,2853,5270,Undergrad,2024
149231,3,8750,813,2839,5098,,2024
149231,11,195,9,14,172,,2024
149231,12,2948,1177,461,1310,Graduate,2024
149310,1,115,,,115,All Students,2024
149310,2,115,,,115,Undergrad,2024
149310,3,98,,,98,,2024
149310,11,17,,,17,,2024
149329,1,91,,,91,All Students,2024
149329,2,78,,,78,Undergrad,2024
149329,3,78,,,78,,2024
149329,12,13,,,13,Graduate,2024
149365,1,3818,691,972,2155,All Students,2024
149365,2,3818,691,972,2155,Undergrad,2024
149365,3,2042,531,920,591,,2024
149365,11,1776,160,52,1564,,2024
149505,1,854,0,0,854,All Students,2024
149505,2,825,0,0,825,Undergrad,2024
149505,3,820,0,0,820,,2024
149505,11,5,0,0,5,,2024
149505,12,29,0,0,29,Graduate,2024
149514,1,869,301,180,388,All Students,2024
149514,2,55,28,0,27,Undergrad,2024
149514,3,55,28,0,27,,2024
149514,12,814,273,180,361,Graduate,2024
149532,1,9842,827,1783,7232,All Students,2024
149532,2,9842,827,1783,7232,Undergrad,2024
149532,3,6902,718,1719,4465,,2024
149532,11,2940,109,64,2767,,2024
149550,1,164,,,164,All Students,2024
149550,2,164,,,164,Undergrad,2024
149550,3,164,,,164,,2024
149639,1,323,195,21,107,All Students,2024
149639,2,107,0,14,93,Undergrad,2024
149639,3,76,0,14,62,,2024
149639,11,31,0,0,31,,2024
149639,12,216,195,7,14,Graduate,2024
149727,1,8305,1250,2290,4765,All Students,2024
149727,2,8305,1250,2290,4765,Undergrad,2024
149727,3,5721,1043,2254,2424,,2024
149727,11,2584,207,36,2341,,2024
149772,1,6332,1607,2917,1808,All Students,2024
149772,2,4525,973,2346,1206,Undergrad,2024
149772,3,4410,912,2331,1167,,2024
149772,11,115,61,15,39,,2024
149772,12,1807,634,571,602,Graduate,2024
149781,1,2874,210,115,2549,All Students,2024
149781,2,2150,0,4,2146,Undergrad,2024
149781,3,2121,0,2,2119,,2024
149781,11,29,0,2,27,,2024
149781,12,724,210,111,403,Graduate,2024
149842,1,13988,2136,3735,8117,All Students,2024
149842,2,13988,2136,3735,8117,Undergrad,2024
149842,3,9313,1790,3640,3883,,2024
149842,11,4675,346,95,4234,,2024
150066,1,1228,108,374,746,All Students,2024
150066,2,1092,36,352,704,Undergrad,2024
150066,3,1057,26,352,679,,2024
150066,11,35,10,0,25,,2024
150066,12,136,72,22,42,Graduate,2024
150136,1,21089,5957,7416,7716,All Students,2024
150136,2,15189,1178,7017,6994,Undergrad,2024
150136,3,13988,1162,7015,5811,,2024
150136,11,1201,16,2,1183,,2024
150136,12,5900,4779,399,722,Graduate,2024
150145,1,1167,232,286,649,All Students,2024
150145,2,1065,158,258,649,Undergrad,2024
150145,3,1008,157,258,593,,2024
150145,11,57,1,0,56,,2024
150145,12,102,74,28,0,Graduate,2024
150163,1,5746,753,619,4374,All Students,2024
150163,2,4489,41,557,3891,Undergrad,2024
150163,3,4317,41,557,3719,,2024
150163,11,172,0,0,172,,2024
150163,12,1257,712,62,483,Graduate,2024
150172,1,658,205,99,354,All Students,2024
150172,2,530,139,98,293,Undergrad,2024
150172,3,529,138,98,293,,2024
150172,11,1,1,0,0,,2024
150172,12,128,66,1,61,Graduate,2024
150215,1,151,30,49,72,All Students,2024
150215,12,151,30,49,72,Graduate,2024
150251,1,182,182,,,All Students,2024
150251,2,182,182,,,Undergrad,2024
150251,3,175,175,,,,2024
150251,11,7,7,,,,2024
150288,1,279,23,9,247,All Students,2024
150288,12,279,23,9,247,Graduate,2024
150303,1,319,,,319,All Students,2024
150303,2,319,,,319,Undergrad,2024
150303,3,319,,,319,,2024
150400,1,1917,0,108,1809,All Students,2024
150400,2,1917,0,108,1809,Undergrad,2024
150400,3,1905,0,108,1797,,2024
150400,11,12,0,0,12,,2024
150428,1,25,,,25,All Students,2024
150428,2,25,,,25,Undergrad,2024
150428,3,25,,,25,,2024
150455,1,753,26,17,710,All Students,2024
150455,2,696,0,5,691,Undergrad,2024
150455,3,670,0,5,665,,2024
150455,11,26,0,0,26,,2024
150455,12,57,26,12,19,Graduate,2024
150534,1,2114,60,677,1377,All Students,2024
150534,2,1742,28,612,1102,Undergrad,2024
150534,3,1539,11,582,946,,2024
150534,11,203,17,30,156,,2024
150534,12,372,32,65,275,Graduate,2024
150604,1,985,0,0,985,All Students,2024
150604,2,931,0,0,931,Undergrad,2024
150604,3,900,0,0,900,,2024
150604,11,31,0,0,31,,2024
150604,12,54,,,54,Graduate,2024
150668,1,847,48,161,638,All Students,2024
150668,2,780,5,161,614,Undergrad,2024
150668,3,773,5,160,608,,2024
150668,11,7,0,1,6,,2024
150668,12,67,43,0,24,Graduate,2024
150677,1,2304,423,728,1153,All Students,2024
150677,2,1795,147,567,1081,Undergrad,2024
150677,3,1464,96,519,849,,2024
150677,11,331,51,48,232,,2024
150677,12,509,276,161,72,Graduate,2024
150756,1,1243,0,208,1035,All Students,2024
150756,2,1035,,,1035,Undergrad,2024
150756,3,1031,,,1031,,2024
150756,11,4,,,4,,2024
150756,12,208,0,208,0,Graduate,2024
150765,1,88,,,88,All Students,2024
150765,2,88,,,88,Undergrad,2024
150765,3,88,,,88,,2024
150774,1,661,0,8,653,All Students,2024
150774,2,661,0,8,653,Undergrad,2024
150774,3,639,0,8,631,,2024
150774,11,22,0,0,22,,2024
150853,1,125,,,125,All Students,2024
150853,2,125,,,125,Undergrad,2024
150853,3,125,,,125,,2024
150941,1,1776,85,191,1500,All Students,2024
150941,2,1588,25,154,1409,Undergrad,2024
150941,3,1082,22,152,908,,2024
150941,11,506,3,2,501,,2024
150941,12,188,60,37,91,Graduate,2024
150987,1,110710,16515,16087,78108,All Students,2024
150987,2,110710,16515,16087,78108,Undergrad,2024
150987,3,58267,13069,13574,31624,,2024
150987,11,52443,3446,2513,46484,,2024
151102,1,7206,584,2845,3777,All Students,2024
151102,2,6489,553,2667,3269,Undergrad,2024
151102,3,5484,538,2662,2284,,2024
151102,11,1005,15,5,985,,2024
151102,12,717,31,178,508,Graduate,2024
151111,1,22534,3022,9340,10172,All Students,2024
151111,2,14504,1415,7825,5264,Undergrad,2024
151111,3,13830,1204,7759,4867,,2024
151111,11,674,211,66,397,,2024
151111,12,8030,1607,1515,4908,Graduate,2024
151263,1,5000,432,1590,2978,All Students,2024
151263,2,3603,29,1170,2404,Undergrad,2024
151263,3,3005,26,1169,1810,,2024
151263,11,598,3,1,594,,2024
151263,12,1397,403,420,574,Graduate,2024
151290,1,2770,602,477,1691,All Students,2024
151290,2,1650,17,367,1266,Undergrad,2024
151290,3,1441,15,367,1059,,2024
151290,11,209,2,0,207,,2024
151290,12,1120,585,110,425,Graduate,2024
151306,1,9488,2148,3013,4327,All Students,2024
151306,2,7600,417,2928,4255,Undergrad,2024
151306,3,5292,402,2918,1972,,2024
151306,11,2308,15,10,2283,,2024
151306,12,1888,1731,85,72,Graduate,2024
151324,1,7895,2163,2426,3306,All Students,2024
151324,2,6224,1331,2103,2790,Undergrad,2024
151324,3,6188,1326,2102,2760,,2024
151324,11,36,5,1,30,,2024
151324,12,1671,832,323,516,Graduate,2024
151333,1,2921,665,1295,961,All Students,2024
151333,2,2705,546,1256,903,Undergrad,2024
151333,3,2352,470,1245,637,,2024
151333,11,353,76,11,266,,2024
151333,12,216,119,39,58,Graduate,2024
151342,1,4631,756,2294,1581,All Students,2024
151342,2,4083,654,2101,1328,Undergrad,2024
151342,3,3933,618,2057,1258,,2024
151342,11,150,36,44,70,,2024
151342,12,548,102,193,253,Graduate,2024
151351,1,48424,3249,17945,27230,All Students,2024
151351,2,38093,225,16836,21032,Undergrad,2024
151351,3,37806,189,16791,20826,,2024
151351,11,287,36,45,206,,2024
151351,12,10331,3024,1109,6198,Graduate,2024
151360,1,3041,805,1520,716,All Students,2024
151360,2,2778,718,1462,598,Undergrad,2024
151360,3,2661,664,1448,549,,2024
151360,11,117,54,14,49,,2024
151360,12,263,87,58,118,Graduate,2024
151379,1,3736,1180,1748,808,All Students,2024
151379,2,3276,964,1610,702,Undergrad,2024
151379,3,3170,900,1604,666,,2024
151379,11,106,64,6,36,,2024
151379,12,460,216,138,106,Graduate,2024
151388,1,3203,2254,570,379,All Students,2024
151388,2,2951,2061,554,336,Undergrad,2024
151388,3,2589,1750,539,300,,2024
151388,11,362,311,15,36,,2024
151388,12,252,193,16,43,Graduate,2024
151467,1,123,,,123,All Students,2024
151467,2,123,,,123,Undergrad,2024
151467,3,123,,,123,,2024
151564,1,44,,,44,All Students,2024
151564,2,44,,,44,Undergrad,2024
151564,3,44,,,44,,2024
151607,1,126,,,126,All Students,2024
151607,2,126,,,126,Undergrad,2024
151607,3,126,,,126,,2024
151661,1,1052,,,1052,All Students,2024
151661,2,1052,,,1052,Undergrad,2024
151661,3,1052,,,1052,,2024
151777,1,1276,95,498,683,All Students,2024
151777,2,988,4,421,563,Undergrad,2024
151777,3,936,0,400,536,,2024
151777,11,52,4,21,27,,2024
151777,12,288,91,77,120,Graduate,2024
151786,1,3486,523,751,2212,All Students,2024
151786,2,2378,395,505,1478,Undergrad,2024
151786,3,2266,363,480,1423,,2024
151786,11,112,32,25,55,,2024
151786,12,1108,128,246,734,Graduate,2024
151801,1,2204,7,289,1908,All Students,2024
151801,2,2075,1,286,1788,Undergrad,2024
151801,3,1974,0,286,1688,,2024
151801,11,101,1,0,100,,2024
151801,12,129,6,3,120,Graduate,2024
151810,1,198,12,0,186,All Students,2024
151810,2,150,2,0,148,Undergrad,2024
151810,3,150,2,0,148,,2024
151810,12,48,10,0,38,Graduate,2024
151865,1,145,95,7,43,All Students,2024
151865,12,145,95,7,43,Graduate,2024
151962,1,279,253,26,0,All Students,2024
151962,2,279,253,26,0,Undergrad,2024
151962,3,279,253,26,0,,2024
152044,1,80,,,80,All Students,2024
152044,2,80,,,80,Undergrad,2024
152044,3,80,,,80,,2024
152080,1,13042,246,461,12335,All Students,2024
152080,2,8880,0,196,8684,Undergrad,2024
152080,3,8818,0,196,8622,,2024
152080,11,62,0,0,62,,2024
152080,12,4162,246,265,3651,Graduate,2024
152099,1,640,119,101,420,All Students,2024
152099,2,505,6,79,420,Undergrad,2024
152099,3,499,6,79,414,,2024
152099,11,6,0,0,6,,2024
152099,12,135,113,22,0,Graduate,2024
152150,1,55,,,55,All Students,2024
152150,2,55,,,55,Undergrad,2024
152150,3,55,,,55,,2024
152275,1,104,,,104,All Students,2024
152275,2,104,,,104,Undergrad,2024
152275,3,104,,,104,,2024
152309,1,72,,,72,All Students,2024
152309,2,72,,,72,Undergrad,2024
152309,3,72,,,72,,2024
152318,1,2334,5,142,2187,All Students,2024
152318,2,2315,0,137,2178,Undergrad,2024
152318,3,2309,0,136,2173,,2024
152318,11,6,0,1,5,,2024
152318,12,19,5,5,9,Graduate,2024
152336,1,1763,207,1047,509,All Students,2024
152336,2,1567,92,1042,433,Undergrad,2024
152336,3,1567,92,1042,433,,2024
152336,12,196,115,5,76,Graduate,2024
152381,1,1159,413,179,567,All Students,2024
152381,2,858,254,68,536,Undergrad,2024
152381,3,853,249,68,536,,2024
152381,11,5,5,0,0,,2024
152381,12,301,159,111,31,Graduate,2024
152390,1,1601,45,31,1525,All Students,2024
152390,2,1505,2,20,1483,Undergrad,2024
152390,3,1458,1,20,1437,,2024
152390,11,47,1,0,46,,2024
152390,12,96,43,11,42,Graduate,2024
152451,1,183,32,1,150,All Students,2024
152451,12,183,32,1,150,Graduate,2024
152497,1,145,0,97,48,All Students,2024
152497,2,145,0,97,48,Undergrad,2024
152497,3,145,0,97,48,,2024
152530,1,2548,464,446,1638,All Students,2024
152530,2,2503,449,433,1621,Undergrad,2024
152530,3,2025,2,431,1592,,2024
152530,11,478,447,2,29,,2024
152530,12,45,15,13,17,Graduate,2024
152567,1,4646,279,1158,3209,All Students,2024
152567,2,4373,277,1158,2938,Undergrad,2024
152567,3,2324,30,1046,1248,,2024
152567,11,2049,247,112,1690,,2024
152567,12,273,2,0,271,Graduate,2024
152600,1,2579,112,930,1537,All Students,2024
152600,2,2123,10,760,1353,Undergrad,2024
152600,3,2083,10,757,1316,,2024
152600,11,40,0,3,37,,2024
152600,12,456,102,170,184,Graduate,2024
152628,1,27,,,27,All Students,2024
152628,2,27,,,27,Undergrad,2024
152628,3,27,,,27,,2024
152637,1,19795,989,1666,17140,All Students,2024
152637,2,19795,989,1666,17140,Undergrad,2024
152637,3,3657,812,1115,1730,,2024
152637,11,16138,177,551,15410,,2024
152673,1,866,0,1,865,All Students,2024
152673,2,866,0,1,865,Undergrad,2024
152673,3,866,0,1,865,,2024
152798,1,483,57,316,110,All Students,2024
152798,2,261,31,165,65,Undergrad,2024
152798,3,261,31,165,65,,2024
152798,12,222,26,151,45,Graduate,2024
152992,1,947,174,109,664,All Students,2024
152992,2,766,82,109,575,Undergrad,2024
152992,3,624,82,109,433,,2024
152992,11,142,0,0,142,,2024
152992,12,181,92,0,89,Graduate,2024
153001,1,1890,1080,74,736,All Students,2024
153001,2,1436,626,74,736,Undergrad,2024
153001,3,1366,577,74,715,,2024
153001,11,70,49,0,21,,2024
153001,12,454,454,0,0,Graduate,2024
153074,1,165,,,165,All Students,2024
153074,2,165,,,165,Undergrad,2024
153074,3,165,,,165,,2024
153083,1,129,,,129,All Students,2024
153083,2,129,,,129,Undergrad,2024
153083,3,129,,,129,,2024
153108,1,1084,0,6,1078,All Students,2024
153108,2,1084,0,6,1078,Undergrad,2024
153108,3,1070,0,6,1064,,2024
153108,11,14,0,0,14,,2024
153126,1,962,57,417,488,All Students,2024
153126,2,815,19,352,444,Undergrad,2024
153126,3,742,18,352,372,,2024
153126,11,73,1,0,72,,2024
153126,12,147,38,65,44,Graduate,2024
153144,1,1195,0,0,1195,All Students,2024
153144,2,1195,0,0,1195,Undergrad,2024
153144,3,1164,0,0,1164,,2024
153144,11,31,0,0,31,,2024
153162,1,1094,,,1094,All Students,2024
153162,2,1094,,,1094,Undergrad,2024
153162,3,1086,,,1086,,2024
153162,11,8,,,8,,2024
153214,1,23697,5497,4917,13283,All Students,2024
153214,2,23697,5497,4917,13283,Undergrad,2024
153214,3,10446,2873,3457,4116,,2024
153214,11,13251,2624,1460,9167,,2024
153241,1,64,,,64,All Students,2024
153241,2,64,,,64,Undergrad,2024
153241,3,64,,,64,,2024
153250,1,1952,342,283,1327,All Students,2024
153250,2,1716,116,283,1317,Undergrad,2024
153250,3,1597,5,278,1314,,2024
153250,11,119,111,5,3,,2024
153250,12,236,226,0,10,Graduate,2024
153269,1,4345,546,844,2955,All Students,2024
153269,2,2585,13,587,1985,Undergrad,2024
153269,3,2543,11,587,1945,,2024
153269,11,42,2,0,40,,2024
153269,12,1760,533,257,970,Graduate,2024
153278,1,1757,98,348,1311,All Students,2024
153278,2,1440,0,324,1116,Undergrad,2024
153278,3,1440,0,324,1116,,2024
153278,12,317,98,24,195,Graduate,2024
153296,1,685,138,384,163,All Students,2024
153296,2,685,138,384,163,Undergrad,2024
153296,3,499,49,344,106,,2024
153296,11,186,89,40,57,,2024
153302,1,234,16,15,203,All Students,2024
153302,2,234,16,15,203,Undergrad,2024
153302,3,224,10,15,199,,2024
153302,11,10,6,0,4,,2024
153311,1,7426,2219,1566,3641,All Students,2024
153311,2,7426,2219,1566,3641,Undergrad,2024
153311,3,3520,1517,976,1027,,2024
153311,11,3906,702,590,2614,,2024
153320,1,611,172,135,304,All Students,2024
153320,2,551,143,119,289,Undergrad,2024
153320,3,405,22,118,265,,2024
153320,11,146,121,1,24,,2024
153320,12,60,29,16,15,Graduate,2024
153366,1,1102,328,206,568,All Students,2024
153366,2,798,24,206,568,Undergrad,2024
153366,3,798,24,206,568,,2024
153366,12,304,304,0,0,Graduate,2024
153375,1,1856,279,808,769,All Students,2024
153375,2,1500,129,655,716,Undergrad,2024
153375,3,1486,120,654,712,,2024
153375,11,14,9,1,4,,2024
153375,12,356,150,153,53,Graduate,2024
