UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
101602,1,2062,599,755,708,All Students,2024
101602,2,2062,599,755,708,Undergrad,2024
101602,3,1097,206,601,290,,2024
101602,11,965,393,154,418,,2024
101648,1,332,0,98,234,All Students,2024
101648,2,332,0,98,234,Undergrad,2024
101648,3,329,0,98,231,,2024
101648,11,3,0,0,3,,2024
101675,1,1180,585,263,332,All Students,2024
101675,2,1180,585,263,332,Undergrad,2024
101675,3,1155,585,262,308,,2024
101675,11,25,0,1,24,,2024
101693,1,1545,55,0,1490,All Students,2024
101693,2,1308,50,0,1258,Undergrad,2024
101693,3,1307,50,0,1257,,2024
101693,11,1,0,0,1,,2024
101693,12,237,5,0,232,Graduate,2024
101709,1,3088,719,1262,1107,All Students,2024
101709,2,2642,514,1181,947,Undergrad,2024
101709,3,2151,54,1179,918,,2024
101709,11,491,460,2,29,,2024
101709,12,446,205,81,160,Graduate,2024
101736,1,4665,1094,1308,2263,All Students,2024
101736,2,4665,1094,1308,2263,Undergrad,2024
101736,3,1969,425,846,698,,2024
101736,11,2696,669,462,1565,,2024
101879,1,10204,3306,3436,3462,All Students,2024
101879,2,7662,1126,3317,3219,Undergrad,2024
101879,3,5811,779,3271,1761,,2024
101879,11,1851,347,46,1458,,2024
101879,12,2542,2180,119,243,Graduate,2024
101897,1,3208,835,860,1513,All Students,2024
101897,2,3208,835,860,1513,Undergrad,2024
101897,3,1629,405,502,722,,2024
101897,11,1579,430,358,791,,2024
101912,1,1226,74,527,625,All Students,2024
101912,2,1177,29,523,625,Undergrad,2024
101912,3,1153,29,508,616,,2024
101912,11,24,0,15,9,,2024
101912,12,49,45,4,0,Graduate,2024
101994,1,641,17,289,335,All Students,2024
101994,2,641,17,289,335,Undergrad,2024
101994,3,416,6,273,137,,2024
101994,11,225,11,16,198,,2024
102030,1,4001,612,1062,2327,All Students,2024
102030,2,4001,612,1062,2327,Undergrad,2024
102030,3,2437,489,997,951,,2024
102030,11,1564,123,65,1376,,2024
102049,1,6097,412,892,4793,All Students,2024
102049,2,4210,46,608,3556,Undergrad,2024
102049,3,4206,42,608,3556,,2024
102049,11,4,4,0,0,,2024
102049,12,1887,366,284,1237,Graduate,2024
102058,1,95,0,93,2,All Students,2024
102058,2,82,0,80,2,Undergrad,2024
102058,3,32,0,30,2,,2024
102058,11,50,0,50,0,,2024
102058,12,13,0,13,0,Graduate,2024
102067,1,4601,1628,1356,1617,All Students,2024
102067,2,4601,1628,1356,1617,Undergrad,2024
102067,3,3148,811,1209,1128,,2024
102067,11,1453,817,147,489,,2024
102076,1,2917,1609,806,502,All Students,2024
102076,2,2917,1609,806,502,Undergrad,2024
102076,3,1427,532,670,225,,2024
102076,11,1490,1077,136,277,,2024
102094,1,14003,3884,4771,5348,All Students,2024
102094,2,9241,778,4481,3982,Undergrad,2024
102094,3,8879,487,4475,3917,,2024
102094,11,362,291,6,65,,2024
102094,12,4762,3106,290,1366,Graduate,2024
102234,1,919,163,206,550,All Students,2024
102234,2,782,42,201,539,Undergrad,2024
102234,3,782,42,201,539,,2024
102234,12,137,121,5,11,Graduate,2024
102270,1,731,152,579,0,All Students,2024
102270,2,731,152,579,0,Undergrad,2024
102270,3,706,150,556,0,,2024
102270,11,25,2,23,0,,2024
102298,1,760,107,641,12,All Students,2024
102298,2,701,48,641,12,Undergrad,2024
102298,3,701,48,641,12,,2024
102298,12,59,59,0,0,Graduate,2024
102313,1,2046,708,707,631,All Students,2024
102313,2,2046,708,707,631,Undergrad,2024
102313,3,1674,612,680,382,,2024
102313,11,372,96,27,249,,2024
102368,1,13658,6980,2579,4099,All Students,2024
102368,2,10222,4296,2289,3637,Undergrad,2024
102368,3,9805,3927,2274,3604,,2024
102368,11,417,369,15,33,,2024
102368,12,3436,2684,290,462,Graduate,2024
102377,1,3121,42,0,3079,All Students,2024
102377,2,2659,29,0,2630,Undergrad,2024
102377,3,2630,29,0,2601,,2024
102377,11,29,0,0,29,,2024
102377,12,462,13,0,449,Graduate,2024
102395,1,367,267,92,8,All Students,2024
102395,2,234,134,92,8,Undergrad,2024
102395,3,228,130,92,6,,2024
102395,11,6,4,0,2,,2024
102395,12,133,133,0,0,Graduate,2024
102429,1,4378,992,1053,2333,All Students,2024
102429,2,4378,992,1053,2333,Undergrad,2024
102429,3,2177,460,890,827,,2024
102429,11,2201,532,163,1506,,2024
102553,1,10493,3393,4123,2977,All Students,2024
102553,2,9853,3080,3958,2815,Undergrad,2024
102553,3,7212,2203,3471,1538,,2024
102553,11,2641,877,487,1277,,2024
102553,12,640,313,165,162,Graduate,2024
102580,1,38,0,0,38,All Students,2024
102580,2,38,0,0,38,Undergrad,2024
102580,3,24,0,0,24,,2024
102580,11,14,0,0,14,,2024
102614,1,6893,3040,2069,1784,All Students,2024
102614,2,5827,2665,1884,1278,Undergrad,2024
102614,3,4207,1825,1664,718,,2024
102614,11,1620,840,220,560,,2024
102614,12,1066,375,185,506,Graduate,2024
102632,1,2000,887,440,673,All Students,2024
102632,2,1768,769,364,635,Undergrad,2024
102632,3,907,370,314,223,,2024
102632,11,861,399,50,412,,2024
102632,12,232,118,76,38,Graduate,2024
102669,1,593,110,211,272,All Students,2024
102669,2,479,108,195,176,Undergrad,2024
102669,3,457,105,181,171,,2024
102669,11,22,3,14,5,,2024
102669,12,114,2,16,96,Graduate,2024
102711,1,269,,,269,All Students,2024
102711,2,269,,,269,Undergrad,2024
102711,3,107,,,107,,2024
